Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
Property 2083,A nice property,70 Lac,7047958,Pune,2482 sqft,Resale,23,Under Construction,Semi-Furnished,North,Park,Society 24,5.0,0.0,1.0,Freehold,4347 sqft,NA,2204 sqft
Property 2084,A nice property,31 Lac,3184732,Jaipur,3698 sqft,Under Construction,1,Under Construction,Unfurnished,West,NA,Society 44,2.0,,3.0,Freehold,1576 sqft,NA,NA
Property 2085,A nice property,68 Lac,6868082,Nagpur,3757 sqft,Ready,20,Ready to Move,Unfurnished,East,Main Road,Society 32,2.0,,1.0,Freehold,4015 sqft,NA,2105 sqft
Property 2086,A nice property,45 Lac,4526193,Bhopal,1683 sqft,Ready,24,Ready to Move,Unfurnished,South,NA,Society 47,1.0,,1.0,Freehold,4931 sqft,NA,NA
Property 2087,A nice property,21 Lac,2179837,Nagpur,1489 sqft,Under Construction,20,Ready to Move,Semi-Furnished,West,Main Road,Society 32,2.0,1.0,3.0,Leasehold,1565 sqft,NA,NA
Property 2088,A nice property,1.3 Cr,12714513,Bangalore,735 sqft,Under Construction,22,Ready to Move,Unfurnished,East,Park,Society 24,2.0,,,Freehold,706 sqft,NA,NA
Property 2089,A nice property,39 Lac,3998318,Bhopal,2257 sqft,Ready,Ground,Under Construction,Unfurnished,West,Park,Society 17,1.0,2.0,2.0,Leasehold,5325 sqft,NA,NA
Property 2090,A nice property,1.2 Cr,12112437,Bangalore,4882 sqft,Resale,Ground,Ready to Move,Unfurnished,North,Main Road,Society 15,4.0,3.0,0.0,Leasehold,5048 sqft,NA,3919 sqft
Property 2091,A nice property,59 Lac,5964062,Ghaziabad,4731 sqft,Ready,24,Ready to Move,Furnished,South,Park,Society 47,4.0,3.0,2.0,Leasehold,1476 sqft,NA,NA
Property 2092,A nice property,35 Lac,3530815,Vadodara,4038 sqft,Ready,1,Under Construction,Semi-Furnished,North,Park,NA,,2.0,2.0,Leasehold,4418 sqft,NA,NA
Property 2093,A nice property,42 Lac,4218020,Kolkata,1825 sqft,Under Construction,15,Ready to Move,Furnished,North,Park,Society 28,4.0,3.0,,Leasehold,4104 sqft,NA,4009 sqft
Property 2094,A nice property,59 Lac,5918373,Nagpur,1388 sqft,Resale,Ground,Under Construction,Semi-Furnished,East,Park,Society 35,,,,Freehold,4213 sqft,NA,NA
Property 2095,A nice property,53 Lac,5380237,Vadodara,2053 sqft,Under Construction,11,Under Construction,Semi-Furnished,North,Park,Society 27,4.0,3.0,1.0,Freehold,2608 sqft,NA,NA
Property 2096,A nice property,37 Lac,3710381,Lucknow,4498 sqft,Ready,22,Under Construction,Unfurnished,West,Main Road,Society 33,,0.0,2.0,Freehold,3710 sqft,NA,3433 sqft
Property 2097,A nice property,1.5 Cr,15056570,Delhi,919 sqft,Resale,17,Under Construction,Semi-Furnished,West,Park,NA,4.0,0.0,,Freehold,1754 sqft,NA,NA
Property 2098,A nice property,66 Lac,6619878,Bhopal,4953 sqft,Under Construction,15,Ready to Move,Unfurnished,East,NA,Society 18,1.0,1.0,3.0,Leasehold,1398 sqft,NA,4568 sqft
Property 2099,A nice property,49 Lac,4921249,Kochi,4723 sqft,Resale,Ground,Ready to Move,Furnished,West,Park,Society 19,1.0,,,Leasehold,3434 sqft,NA,536 sqft
Property 2100,A nice property,59 Lac,5991296,Chandigarh,1562 sqft,Resale,Ground,Under Construction,Unfurnished,North,NA,Society 15,4.0,0.0,,Freehold,1947 sqft,NA,3832 sqft
Property 2101,A nice property,32 Lac,3236677,Vadodara,1363 sqft,Resale,21,Ready to Move,Furnished,South,NA,Society 23,4.0,2.0,3.0,Freehold,4126 sqft,NA,NA
Property 2102,A nice property,53 Lac,5328087,Jaipur,4550 sqft,Ready,Ground,Ready to Move,Unfurnished,South,Park,Society 28,5.0,,0.0,Freehold,4664 sqft,NA,NA
Property 2103,A nice property,75 Lac,7540845,Ludhiana,1667 sqft,Under Construction,7,Ready to Move,Unfurnished,West,Main Road,Society 27,1.0,1.0,2.0,Leasehold,2354 sqft,NA,4300 sqft
Property 2104,A nice property,78 Lac,7868917,Ludhiana,609 sqft,Under Construction,7,Ready to Move,Furnished,North,NA,Society 14,5.0,1.0,2.0,Leasehold,4399 sqft,NA,3887 sqft
Property 2105,A nice property,1.3 Cr,12781141,Hyderabad,4134 sqft,Ready,18,Ready to Move,Furnished,East,NA,Society 26,1.0,,0.0,Leasehold,1638 sqft,NA,NA
Property 2106,A nice property,89 Lac,8915715,Pune,4876 sqft,Resale,20,Under Construction,Unfurnished,West,Park,Society 34,3.0,,2.0,Freehold,1295 sqft,NA,NA
Property 2107,A nice property,45 Lac,4579156,Hyderabad,4046 sqft,Under Construction,12,Ready to Move,Unfurnished,North,Park,Society 10,3.0,1.0,1.0,Leasehold,802 sqft,NA,3564 sqft
Property 2108,A nice property,20 Lac,2094332,Bhopal,3634 sqft,Ready,7,Ready to Move,Semi-Furnished,North,Park,NA,3.0,2.0,2.0,Freehold,4402 sqft,NA,542 sqft
Property 2109,A nice property,59 Lac,5901328,Nagpur,955 sqft,Under Construction,Ground,Under Construction,Unfurnished,South,Main Road,Society 30,3.0,2.0,3.0,Freehold,753 sqft,NA,1625 sqft
Property 2110,A nice property,31 Lac,3173325,Indore,4940 sqft,Resale,1,Ready to Move,Unfurnished,West,NA,Society 34,,0.0,2.0,Freehold,3935 sqft,NA,NA
Property 2111,A nice property,66 Lac,6636855,Vadodara,4114 sqft,Under Construction,12,Ready to Move,Semi-Furnished,East,NA,Society 33,1.0,1.0,0.0,Leasehold,5075 sqft,NA,NA
Property 2112,A nice property,76 Lac,7678224,Nagpur,2479 sqft,Resale,10,Under Construction,Semi-Furnished,South,Main Road,Society 19,,3.0,2.0,Leasehold,4062 sqft,NA,4238 sqft
Property 2113,A nice property,85 Lac,8517424,Pune,4549 sqft,Resale,4,Ready to Move,Furnished,West,NA,Society 50,5.0,2.0,1.0,Leasehold,5008 sqft,NA,1857 sqft
Property 2114,A nice property,39 Lac,3901037,Kolkata,3723 sqft,Ready,21,Ready to Move,Semi-Furnished,South,Park,Society 27,3.0,0.0,3.0,Freehold,5982 sqft,NA,3595 sqft
Property 2115,A nice property,62 Lac,6262436,Ludhiana,3471 sqft,Resale,Ground,Ready to Move,Furnished,West,NA,Society 40,5.0,3.0,,Freehold,4248 sqft,NA,NA
Property 2116,A nice property,74 Lac,7438636,Kochi,1400 sqft,Ready,12,Ready to Move,Semi-Furnished,West,Main Road,Society 43,1.0,0.0,,Leasehold,2945 sqft,NA,3425 sqft
Property 2117,A nice property,79 Lac,7973105,Bhopal,4085 sqft,Under Construction,18,Ready to Move,Furnished,West,NA,Society 17,5.0,,1.0,Freehold,4133 sqft,NA,4968 sqft
Property 2118,A nice property,78 Lac,7826392,Kochi,1696 sqft,Resale,25,Under Construction,Furnished,North,Park,Society 47,4.0,,1.0,Leasehold,3216 sqft,NA,2952 sqft
Property 2119,A nice property,1.2 Cr,11954386,Bangalore,2685 sqft,Under Construction,6,Ready to Move,Furnished,East,Park,Society 39,1.0,0.0,1.0,Leasehold,1526 sqft,NA,3836 sqft
Property 2120,A nice property,1.5 Cr,14802514,Bangalore,4508 sqft,Resale,12,Under Construction,Semi-Furnished,North,Park,Society 35,1.0,3.0,0.0,Freehold,3082 sqft,NA,NA
Property 2121,A nice property,61 Lac,6139059,Bangalore,2504 sqft,Ready,20,Ready to Move,Furnished,East,Park,NA,1.0,,1.0,Leasehold,4572 sqft,NA,3692 sqft
Property 2122,A nice property,39 Lac,3953258,Pune,1286 sqft,Under Construction,14,Under Construction,Semi-Furnished,South,NA,NA,1.0,0.0,,Freehold,2626 sqft,NA,2003 sqft
Property 2123,A nice property,68 Lac,6856520,Indore,2920 sqft,Under Construction,22,Under Construction,Furnished,North,Main Road,Society 20,3.0,2.0,3.0,Freehold,3566 sqft,NA,759 sqft
Property 2124,A nice property,72 Lac,7217007,Visakhapatnam,3947 sqft,Under Construction,14,Under Construction,Furnished,East,NA,Society 4,,1.0,1.0,Freehold,5671 sqft,NA,NA
Property 2125,A nice property,69 Lac,6939230,Kochi,2711 sqft,Resale,23,Under Construction,Semi-Furnished,North,Main Road,Society 47,4.0,2.0,1.0,Leasehold,3246 sqft,NA,1665 sqft
Property 2126,A nice property,62 Lac,6286243,Chandigarh,2148 sqft,Resale,4,Under Construction,Furnished,West,Main Road,NA,5.0,0.0,3.0,Leasehold,4203 sqft,NA,NA
Property 2127,A nice property,1.1 Cr,10692983,Pune,644 sqft,Resale,Ground,Under Construction,Furnished,North,Main Road,NA,4.0,,3.0,Freehold,5199 sqft,NA,1833 sqft
Property 2128,A nice property,56 Lac,5638053,Ludhiana,658 sqft,Resale,Ground,Under Construction,Furnished,East,Main Road,Society 30,4.0,2.0,2.0,Leasehold,5363 sqft,NA,1793 sqft
Property 2129,A nice property,77 Lac,7760978,Kochi,4880 sqft,Ready,21,Ready to Move,Furnished,West,Park,NA,3.0,3.0,0.0,Freehold,3449 sqft,NA,1931 sqft
Property 2130,A nice property,62 Lac,6201912,Pune,1565 sqft,Resale,14,Under Construction,Semi-Furnished,North,Main Road,Society 4,1.0,0.0,2.0,Freehold,2268 sqft,NA,2336 sqft
Property 2131,A nice property,78 Lac,7849143,Indore,4857 sqft,Ready,24,Ready to Move,Semi-Furnished,West,Main Road,Society 18,1.0,3.0,3.0,Freehold,5908 sqft,NA,1929 sqft
Property 2132,A nice property,42 Lac,4246010,Ludhiana,658 sqft,Resale,18,Ready to Move,Furnished,South,NA,NA,,0.0,3.0,Freehold,4522 sqft,NA,2807 sqft
Property 2133,A nice property,74 Lac,7409585,Indore,3672 sqft,Under Construction,15,Under Construction,Semi-Furnished,South,Main Road,Society 39,5.0,1.0,1.0,Leasehold,3090 sqft,NA,3631 sqft
Property 2134,A nice property,46 Lac,4625755,Chennai,2282 sqft,Resale,2,Under Construction,Unfurnished,West,Park,Society 37,1.0,,2.0,Freehold,2221 sqft,NA,NA
Property 2135,A nice property,77 Lac,7788863,Bhopal,3187 sqft,Ready,14,Ready to Move,Furnished,East,Main Road,NA,1.0,0.0,1.0,Freehold,3508 sqft,NA,NA
Property 2136,A nice property,21 Lac,2137709,Ludhiana,3949 sqft,Resale,25,Ready to Move,Semi-Furnished,South,Main Road,Society 15,4.0,0.0,1.0,Freehold,2112 sqft,NA,4535 sqft
Property 2137,A nice property,47 Lac,4740838,Lucknow,3567 sqft,Resale,13,Ready to Move,Unfurnished,East,Park,Society 32,3.0,2.0,2.0,Leasehold,3301 sqft,NA,3155 sqft
Property 2138,A nice property,25 Lac,2543548,Ghaziabad,1473 sqft,Under Construction,16,Under Construction,Unfurnished,West,NA,Society 38,,3.0,3.0,Freehold,4463 sqft,NA,NA
Property 2139,A nice property,42 Lac,4242135,Indore,1867 sqft,Ready,Ground,Ready to Move,Unfurnished,East,Park,Society 41,3.0,1.0,,Freehold,4339 sqft,NA,2905 sqft
Property 2140,A nice property,71 Lac,7170256,Kochi,4090 sqft,Ready,15,Ready to Move,Unfurnished,North,Park,Society 23,,2.0,3.0,Leasehold,3811 sqft,NA,2659 sqft
Property 2141,A nice property,22 Lac,2240781,Kochi,2677 sqft,Under Construction,21,Under Construction,Furnished,West,Park,Society 44,3.0,,2.0,Leasehold,5110 sqft,NA,4360 sqft
Property 2142,A nice property,46 Lac,4604322,Vadodara,2740 sqft,Under Construction,24,Ready to Move,Semi-Furnished,West,NA,NA,2.0,0.0,0.0,Freehold,5475 sqft,NA,3081 sqft
Property 2143,A nice property,62 Lac,6221319,Visakhapatnam,4991 sqft,Under Construction,12,Ready to Move,Semi-Furnished,South,NA,Society 2,2.0,,2.0,Leasehold,5366 sqft,NA,1577 sqft
Property 2144,A nice property,59 Lac,5918873,Ghaziabad,4069 sqft,Resale,17,Under Construction,Unfurnished,East,Main Road,NA,5.0,3.0,3.0,Leasehold,5943 sqft,NA,3193 sqft
Property 2145,A nice property,38 Lac,3874759,Lucknow,3595 sqft,Ready,22,Ready to Move,Furnished,North,Park,NA,1.0,2.0,1.0,Leasehold,4724 sqft,NA,2469 sqft
Property 2146,A nice property,48 Lac,4891893,Visakhapatnam,2857 sqft,Under Construction,14,Under Construction,Semi-Furnished,West,Main Road,Society 23,,3.0,0.0,Leasehold,4651 sqft,NA,NA
Property 2147,A nice property,2.4 Cr,24366979,Mumbai,3855 sqft,Under Construction,1,Under Construction,Semi-Furnished,East,NA,NA,5.0,2.0,,Leasehold,2511 sqft,NA,2331 sqft
Property 2148,A nice property,51 Lac,5143273,Nagpur,2268 sqft,Ready,Ground,Ready to Move,Semi-Furnished,West,Park,NA,4.0,0.0,1.0,Freehold,5390 sqft,NA,NA
Property 2149,A nice property,42 Lac,4291910,Indore,3985 sqft,Resale,1,Ready to Move,Semi-Furnished,West,Park,NA,5.0,0.0,3.0,Leasehold,3763 sqft,NA,NA
Property 2150,A nice property,77 Lac,7786284,Hyderabad,4552 sqft,Resale,12,Under Construction,Semi-Furnished,South,Main Road,Society 1,4.0,0.0,0.0,Freehold,1424 sqft,NA,4597 sqft
Property 2151,A nice property,44 Lac,4408338,Surat,2064 sqft,Resale,Ground,Ready to Move,Unfurnished,East,Park,Society 22,4.0,3.0,2.0,Leasehold,3878 sqft,NA,NA
Property 2152,A nice property,46 Lac,4697720,Ghaziabad,3632 sqft,Ready,24,Ready to Move,Semi-Furnished,West,NA,NA,3.0,1.0,,Freehold,5832 sqft,NA,1045 sqft
Property 2153,A nice property,39 Lac,3970067,Lucknow,4562 sqft,Resale,11,Under Construction,Semi-Furnished,North,NA,NA,5.0,2.0,1.0,Freehold,3860 sqft,NA,3346 sqft
Property 2154,A nice property,2.1 Cr,20807833,Mumbai,2678 sqft,Resale,19,Ready to Move,Unfurnished,East,NA,Society 20,5.0,1.0,,Leasehold,978 sqft,NA,3352 sqft
Property 2155,A nice property,44 Lac,4463548,Ludhiana,3112 sqft,Ready,Ground,Under Construction,Unfurnished,West,Park,Society 15,4.0,3.0,,Freehold,2539 sqft,NA,NA
Property 2156,A nice property,71 Lac,7189378,Visakhapatnam,3420 sqft,Ready,13,Ready to Move,Unfurnished,East,NA,Society 9,3.0,0.0,0.0,Leasehold,2019 sqft,NA,3283 sqft
Property 2157,A nice property,67 Lac,6742379,Jaipur,3861 sqft,Under Construction,21,Ready to Move,Semi-Furnished,South,Main Road,Society 39,2.0,0.0,0.0,Freehold,2741 sqft,NA,4378 sqft
Property 2158,A nice property,52 Lac,5286248,Ghaziabad,1731 sqft,Ready,2,Ready to Move,Furnished,North,Park,Society 44,4.0,1.0,2.0,Freehold,4635 sqft,NA,3135 sqft
Property 2159,A nice property,28 Lac,2841632,Ghaziabad,1575 sqft,Resale,Ground,Under Construction,Unfurnished,West,NA,Society 44,5.0,,0.0,Freehold,946 sqft,NA,557 sqft
Property 2160,A nice property,25 Lac,2515887,Ahmedabad,2482 sqft,Ready,5,Ready to Move,Semi-Furnished,North,Park,Society 15,3.0,1.0,,Leasehold,1517 sqft,NA,861 sqft
Property 2161,A nice property,1.4 Cr,14175906,Bangalore,4258 sqft,Resale,Ground,Under Construction,Furnished,South,Main Road,Society 40,2.0,2.0,0.0,Freehold,2871 sqft,NA,1235 sqft
Property 2162,A nice property,61 Lac,6189848,Ghaziabad,1925 sqft,Under Construction,24,Under Construction,Furnished,East,Park,Society 49,,2.0,1.0,Freehold,839 sqft,NA,2973 sqft
Property 2163,A nice property,68 Lac,6813988,Visakhapatnam,1421 sqft,Resale,11,Ready to Move,Unfurnished,North,NA,Society 6,,2.0,2.0,Leasehold,5738 sqft,NA,NA
Property 2164,A nice property,70 Lac,7076791,Chennai,2356 sqft,Resale,14,Ready to Move,Furnished,West,Main Road,Society 47,3.0,1.0,0.0,Freehold,3591 sqft,NA,1018 sqft
Property 2165,A nice property,73 Lac,7335216,Kochi,4764 sqft,Resale,23,Under Construction,Semi-Furnished,South,Park,Society 8,2.0,,,Leasehold,5995 sqft,NA,2852 sqft
Property 2166,A nice property,57 Lac,5729823,Ludhiana,3881 sqft,Ready,Ground,Ready to Move,Semi-Furnished,South,Park,NA,1.0,2.0,1.0,Freehold,1206 sqft,NA,NA
Property 2167,A nice property,58 Lac,5829605,Bhopal,3372 sqft,Resale,21,Under Construction,Unfurnished,East,NA,Society 37,3.0,2.0,0.0,Leasehold,4303 sqft,NA,2219 sqft
Property 2168,A nice property,58 Lac,5889406,Pune,1026 sqft,Ready,13,Ready to Move,Unfurnished,South,NA,NA,,1.0,1.0,Leasehold,5992 sqft,NA,708 sqft
Property 2169,A nice property,32 Lac,3254087,Ahmedabad,1916 sqft,Under Construction,Ground,Under Construction,Unfurnished,West,Main Road,Society 11,2.0,2.0,0.0,Freehold,1328 sqft,NA,1288 sqft
Property 2170,A nice property,86 Lac,8696149,Bangalore,3787 sqft,Under Construction,9,Under Construction,Unfurnished,East,Main Road,Society 12,5.0,,0.0,Leasehold,3576 sqft,NA,NA
Property 2171,A nice property,31 Lac,3186028,Ghaziabad,643 sqft,Under Construction,Ground,Ready to Move,Semi-Furnished,South,NA,Society 17,4.0,3.0,,Leasehold,5976 sqft,NA,523 sqft
Property 2172,A nice property,1.1 Cr,11202123,Hyderabad,1346 sqft,Resale,11,Under Construction,Semi-Furnished,North,Park,NA,4.0,0.0,3.0,Leasehold,1499 sqft,NA,3139 sqft
Property 2173,A nice property,45 Lac,4579291,Kolkata,1790 sqft,Resale,3,Ready to Move,Semi-Furnished,South,Park,Society 44,5.0,3.0,,Freehold,5787 sqft,NA,3690 sqft
Property 2174,A nice property,2.1 Cr,20712515,Mumbai,4463 sqft,Under Construction,1,Ready to Move,Semi-Furnished,East,NA,Society 12,5.0,2.0,1.0,Freehold,5696 sqft,NA,1335 sqft
Property 2175,A nice property,76 Lac,7662006,Chandigarh,4166 sqft,Under Construction,19,Under Construction,Semi-Furnished,West,Main Road,Society 23,4.0,3.0,3.0,Leasehold,3812 sqft,NA,4205 sqft
Property 2176,A nice property,27 Lac,2709454,Indore,1322 sqft,Ready,20,Under Construction,Furnished,South,Park,NA,1.0,0.0,2.0,Leasehold,5870 sqft,NA,NA
Property 2177,A nice property,47 Lac,4715832,Surat,1124 sqft,Ready,3,Ready to Move,Semi-Furnished,North,NA,NA,3.0,0.0,1.0,Freehold,2522 sqft,NA,NA
Property 2178,A nice property,75 Lac,7559397,Pune,2755 sqft,Under Construction,1,Under Construction,Semi-Furnished,West,Main Road,Society 15,1.0,,1.0,Leasehold,1853 sqft,NA,3466 sqft
Property 2179,A nice property,39 Lac,3987619,Surat,2416 sqft,Under Construction,5,Under Construction,Unfurnished,South,Main Road,Society 36,4.0,3.0,2.0,Freehold,2531 sqft,NA,3506 sqft
Property 2180,A nice property,22 Lac,2286395,Kolkata,3637 sqft,Under Construction,Ground,Ready to Move,Semi-Furnished,East,Park,Society 23,1.0,1.0,3.0,Freehold,1174 sqft,NA,NA
Property 2181,A nice property,20 Lac,2087894,Surat,1255 sqft,Under Construction,25,Under Construction,Unfurnished,West,Park,Society 22,5.0,2.0,1.0,Leasehold,3214 sqft,NA,2882 sqft
Property 2182,A nice property,32 Lac,3239497,Kochi,909 sqft,Resale,8,Under Construction,Semi-Furnished,West,NA,Society 17,4.0,3.0,,Leasehold,4694 sqft,NA,2732 sqft
Property 2183,A nice property,61 Lac,6167276,Ludhiana,3748 sqft,Resale,8,Ready to Move,Unfurnished,South,Main Road,Society 28,1.0,3.0,2.0,Freehold,4724 sqft,NA,634 sqft
Property 2184,A nice property,20 Lac,2093184,Visakhapatnam,3882 sqft,Ready,18,Under Construction,Unfurnished,West,NA,Society 39,5.0,2.0,,Freehold,1936 sqft,NA,NA
Property 2185,A nice property,82 Lac,8278534,Bangalore,4868 sqft,Under Construction,Ground,Under Construction,Unfurnished,North,Main Road,Society 41,5.0,3.0,1.0,Leasehold,3458 sqft,NA,4669 sqft
Property 2186,A nice property,1.1 Cr,11221116,Pune,2946 sqft,Resale,13,Ready to Move,Furnished,West,Main Road,NA,,,3.0,Leasehold,5541 sqft,NA,NA
Property 2187,A nice property,50 Lac,5047740,Kochi,1070 sqft,Resale,22,Ready to Move,Unfurnished,North,NA,Society 7,3.0,2.0,0.0,Freehold,4128 sqft,NA,NA
Property 2188,A nice property,25 Lac,2502345,Kolkata,2035 sqft,Resale,3,Ready to Move,Semi-Furnished,North,Main Road,NA,2.0,0.0,1.0,Leasehold,1316 sqft,NA,NA
Property 2189,A nice property,59 Lac,5995107,Vadodara,4649 sqft,Resale,Ground,Under Construction,Semi-Furnished,North,NA,Society 20,1.0,2.0,3.0,Freehold,1449 sqft,NA,3834 sqft
Property 2190,A nice property,55 Lac,5518805,Indore,4196 sqft,Under Construction,21,Ready to Move,Unfurnished,East,Main Road,Society 23,4.0,1.0,,Leasehold,3660 sqft,NA,795 sqft
Property 2191,A nice property,71 Lac,7129631,Visakhapatnam,687 sqft,Under Construction,Ground,Under Construction,Semi-Furnished,North,Park,Society 44,3.0,2.0,,Leasehold,5931 sqft,NA,NA
Property 2192,A nice property,59 Lac,5945751,Kochi,2252 sqft,Resale,Ground,Under Construction,Semi-Furnished,South,Main Road,Society 30,,3.0,0.0,Leasehold,5962 sqft,NA,1925 sqft
Property 2193,A nice property,78 Lac,7812230,Bhopal,4844 sqft,Under Construction,20,Under Construction,Semi-Furnished,North,Park,Society 49,5.0,2.0,3.0,Leasehold,5685 sqft,NA,785 sqft
Property 2194,A nice property,56 Lac,5664959,Indore,2942 sqft,Resale,5,Ready to Move,Furnished,South,Park,Society 31,2.0,2.0,3.0,Leasehold,3522 sqft,NA,NA
Property 2195,A nice property,78 Lac,7819962,Chennai,2195 sqft,Resale,6,Ready to Move,Semi-Furnished,East,Park,NA,2.0,,0.0,Freehold,5852 sqft,NA,3240 sqft
Property 2196,A nice property,67 Lac,6722805,Chandigarh,875 sqft,Ready,16,Under Construction,Unfurnished,South,Park,Society 27,4.0,1.0,0.0,Leasehold,2583 sqft,NA,NA
Property 2197,A nice property,40 Lac,4040422,Vadodara,4782 sqft,Ready,Ground,Under Construction,Furnished,South,Park,Society 16,1.0,0.0,,Freehold,2585 sqft,NA,894 sqft
Property 2198,A nice property,65 Lac,6509067,Indore,4825 sqft,Under Construction,Ground,Under Construction,Semi-Furnished,West,Park,Society 25,,3.0,3.0,Freehold,4837 sqft,NA,4251 sqft
Property 2199,A nice property,78 Lac,7803907,Vadodara,2497 sqft,Ready,4,Under Construction,Semi-Furnished,North,Main Road,NA,1.0,1.0,1.0,Freehold,3085 sqft,NA,4167 sqft
Property 2200,A nice property,23 Lac,2324647,Nagpur,1988 sqft,Ready,1,Under Construction,Furnished,South,Park,Society 6,5.0,1.0,3.0,Freehold,1450 sqft,NA,NA
Property 2201,A nice property,46 Lac,4677497,Jaipur,895 sqft,Under Construction,16,Under Construction,Furnished,South,Main Road,Society 31,1.0,1.0,3.0,Freehold,3923 sqft,NA,NA
Property 2202,A nice property,29 Lac,2908242,Ludhiana,3546 sqft,Ready,Ground,Under Construction,Semi-Furnished,West,NA,Society 28,3.0,1.0,0.0,Freehold,1729 sqft,NA,NA
Property 2203,A nice property,41 Lac,4115136,Visakhapatnam,2559 sqft,Under Construction,22,Ready to Move,Unfurnished,West,NA,Society 49,4.0,1.0,1.0,Leasehold,5448 sqft,NA,NA
Property 2204,A nice property,50 Lac,5006016,Kolkata,602 sqft,Ready,11,Ready to Move,Semi-Furnished,North,Park,Society 11,5.0,3.0,0.0,Freehold,841 sqft,NA,NA
Property 2205,A nice property,40 Lac,4015951,Ahmedabad,1889 sqft,Ready,15,Ready to Move,Unfurnished,East,Main Road,Society 17,3.0,,1.0,Leasehold,4258 sqft,NA,3605 sqft
Property 2206,A nice property,66 Lac,6648036,Jaipur,1311 sqft,Ready,Ground,Under Construction,Semi-Furnished,South,NA,Society 12,2.0,3.0,,Freehold,2217 sqft,NA,742 sqft
Property 2207,A nice property,51 Lac,5165351,Vadodara,2860 sqft,Under Construction,1,Ready to Move,Semi-Furnished,South,Park,Society 2,,0.0,,Leasehold,5185 sqft,NA,NA
Property 2208,A nice property,74 Lac,7444909,Lucknow,3872 sqft,Ready,Ground,Under Construction,Unfurnished,North,NA,Society 34,5.0,1.0,3.0,Leasehold,4868 sqft,NA,1259 sqft
Property 2209,A nice property,69 Lac,6985658,Ahmedabad,3492 sqft,Resale,21,Ready to Move,Semi-Furnished,East,Park,NA,5.0,,0.0,Leasehold,1413 sqft,NA,NA
Property 2210,A nice property,76 Lac,7683214,Lucknow,3837 sqft,Ready,2,Under Construction,Furnished,East,Main Road,Society 42,1.0,2.0,3.0,Freehold,3328 sqft,NA,2757 sqft
Property 2211,A nice property,20 Lac,2081953,Lucknow,3921 sqft,Under Construction,11,Under Construction,Unfurnished,North,Park,Society 11,4.0,2.0,,Freehold,4047 sqft,NA,3490 sqft
Property 2212,A nice property,29 Lac,2981601,Kolkata,2240 sqft,Ready,Ground,Ready to Move,Unfurnished,West,NA,NA,2.0,0.0,1.0,Leasehold,3957 sqft,NA,NA
Property 2213,A nice property,56 Lac,5647685,Visakhapatnam,4841 sqft,Ready,20,Under Construction,Unfurnished,East,NA,Society 4,5.0,1.0,1.0,Leasehold,1138 sqft,NA,4939 sqft
Property 2214,A nice property,63 Lac,6326187,Indore,725 sqft,Resale,1,Under Construction,Unfurnished,North,Park,Society 15,,1.0,1.0,Leasehold,2281 sqft,NA,2179 sqft
Property 2215,A nice property,25 Lac,2590328,Visakhapatnam,1162 sqft,Resale,24,Under Construction,Furnished,South,Park,NA,2.0,3.0,,Leasehold,918 sqft,NA,3065 sqft
Property 2216,A nice property,32 Lac,3299765,Nagpur,1338 sqft,Ready,4,Ready to Move,Furnished,East,Main Road,Society 16,4.0,0.0,,Leasehold,5416 sqft,NA,NA
Property 2217,A nice property,23 Lac,2314416,Vadodara,2930 sqft,Under Construction,1,Ready to Move,Furnished,East,NA,NA,3.0,0.0,3.0,Freehold,5083 sqft,NA,NA
Property 2218,A nice property,61 Lac,6177183,Jaipur,3451 sqft,Under Construction,17,Ready to Move,Semi-Furnished,East,NA,Society 40,4.0,2.0,,Leasehold,1175 sqft,NA,3485 sqft
Property 2219,A nice property,48 Lac,4869247,Lucknow,3446 sqft,Resale,5,Ready to Move,Unfurnished,West,NA,Society 5,2.0,1.0,3.0,Leasehold,3578 sqft,NA,1811 sqft
Property 2220,A nice property,41 Lac,4107309,Hyderabad,2865 sqft,Resale,12,Ready to Move,Unfurnished,South,Park,Society 32,,0.0,,Freehold,1386 sqft,NA,1004 sqft
Property 2221,A nice property,24 Lac,2458550,Ghaziabad,2453 sqft,Ready,7,Ready to Move,Furnished,East,Park,Society 20,3.0,1.0,,Freehold,5933 sqft,NA,1576 sqft
Property 2222,A nice property,22 Lac,2212209,Vadodara,2193 sqft,Under Construction,5,Under Construction,Unfurnished,North,NA,Society 46,2.0,,2.0,Leasehold,4976 sqft,NA,NA
Property 2223,A nice property,53 Lac,5376775,Bhopal,4325 sqft,Under Construction,24,Under Construction,Furnished,North,Park,Society 40,5.0,2.0,2.0,Freehold,2465 sqft,NA,1404 sqft
Property 2224,A nice property,71 Lac,7132695,Bhopal,3909 sqft,Under Construction,5,Under Construction,Furnished,West,Main Road,Society 35,4.0,,3.0,Freehold,2854 sqft,NA,NA
Property 2225,A nice property,71 Lac,7182299,Nagpur,638 sqft,Under Construction,16,Ready to Move,Semi-Furnished,East,Main Road,NA,5.0,1.0,1.0,Freehold,2338 sqft,NA,2562 sqft
Property 2226,A nice property,48 Lac,4856903,Pune,2738 sqft,Resale,3,Under Construction,Unfurnished,North,Main Road,Society 44,5.0,3.0,,Freehold,2945 sqft,NA,4063 sqft
